StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,1,2,3,4,5,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,7,8_1,8_2,8_3,8_4,9,10_1,10_2,10_3,10_4,11,12,13,14,15,16
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Would you rather drive or be driven by a self-driving autonomous car?,Do you feel safe being driven by a self-driving autonomous car? 1 is not safe at all and 10 being very safe. Use your imagination as fully self-driving autonomous cars are not available on the market right now.,What level of automation in cars would you be interested in if you plan to buy one?,When you think about buying a car (up to 5 years from now) how likely are you to consider purchasing a partially self-driving car?,When you think about buying a car (up to 10 years from now) how likely are you to consider purchasing a fully self-driving car?,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Is safer than non-self-driving cars,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Lower insurance costs,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Allows multi-tasking while car drives,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Highest safety ratings given by government agencies,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Switches to self-driving mode on highways,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Switches to self-driving mode in traffic,For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Offers better mileage and lower maintenance than non-self-driving cars,"For which of the following reasons do you think you are (very likely/likely/neutral) to purchase a partially/fully self-driving autonomous car? Rank your reasons by using drag and drop. - Drops me off, finds a parking spot and parks on it own","Fully automated cars are expected to cost $5000-9000 more on top of a regular car price for all new features. Would you be willing to spend more? If yes, how much?",For which new features would you be willing to pay more? Rank the features by using drag and drop. - Safety Features,For which new features would you be willing to pay more? Rank the features by using drag and drop. - Connectivity Features,For which new features would you be willing to pay more? Rank the features by using drag and drop. - Full/partial self-drive,For which new features would you be willing to pay more? Rank the features by using drag and drop. - Alternative engine,What is your opinion on self-driving cars?,Which factors would build your trust with driving in fully self-driving cars? Rank the factors by using drag and drop. - Car is offered by a well-known brand you trust,Which factors would build your trust with driving in fully self-driving cars? Rank the factors by using drag and drop. - An established track record of self-driving cars used on the roads safely,Which factors would build your trust with driving in fully self-driving cars? Rank the factors by using drag and drop. - Government regulations/approval of self-driving cars,Which factors would build your trust with driving in fully self-driving cars? Rank the factors by using drag and drop. - A friend or family member using a self-driving car,How concerned are you with regards to the legal liability of drivers/owners of self-driving cars?,Do you consider autonomous driving as a useful advancement?,"To get an idea of the market research, how old are you?",Do you have a driver's license?,How many kilometers do you drive approximately in a year?,What is your gender?
"{""ImportId"":""startDate""}","{""ImportId"":""endDate""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID18""}"
2017-07-13 16:26:42,2017-07-13 16:32:27,IP Address,188.97.40.140,100,344,True,2017-07-13 16:32:28,R_2dtk15c1JudwQCV,,,,,50,8.2711029052734,anonymous,EN,Self-drive,2,Level 2 - Adaptive Safety Features,Somewhat unlikely,Neither likely nor unlikely,6,3,7,2,8,4,5,1,$0-2500,1,3,4,2,Fully-self driving cars will not be safe,2,3,4,1,Very concerned,Probably yes,20-30 years,Yes,10000-20000 kilometers,Male
2017-07-13 16:38:42,2017-07-13 16:41:59,IP Address,193.78.85.153,100,197,True,2017-07-13 16:42:00,R_2SiXm8JNDlUsfJD,,,,,51.496398925781,-0.12240600585938,anonymous,EN,Be driven by an autonomous car,9,Level 4 - Full self-drive,Extremely likely,Extremely likely,1,4,2,8,5,6,7,3,$2500-5000,2,3,1,4,I would trust a fully self-driving car to drive for me,1,3,4,2,Moderately concerned,Definitely yes,30-40 years,Yes,0-5000 kilometers,Male
2017-07-13 16:55:09,2017-07-13 17:02:22,IP Address,92.216.247.162,100,432,True,2017-07-13 17:02:23,R_3kM1qVC6enSUuyh,,,,,50.125,8.6761932373047,anonymous,EN,Self-drive,8,Level 3 - Partial self-drive,Extremely likely,Neither likely nor unlikely,7,8,2,5,1,4,3,6,$0-2500,1,2,4,3,Traveling in a fully self-driving car will be a positive experience,4,2,3,1,Moderately concerned,Definitely yes,20-30 years,Yes,0-5000 kilometers,Female
2017-07-13 17:03:15,2017-07-13 17:06:07,IP Address,62.206.82.236,100,172,True,2017-07-13 17:06:08,R_1ja1U6NumtNcF2r,,,,,50.113693237305,8.7118988037109,anonymous,EN,Self-drive,8,Level 4 - Full self-drive,Neither likely nor unlikely,Somewhat likely,4,7,6,5,2,1,8,3,$2500-5000,4,3,1,2,I would trust a fully self-driving car to drive for me,2,3,1,4,Moderately concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-13 17:11:01,2017-07-13 17:19:40,IP Address,89.204.137.239,100,519,True,2017-07-13 17:19:41,R_1pZ4nJunTE0z3c2,,,,,52.51220703125,13.416397094727,anonymous,EN,Be driven by an autonomous car,9,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,5,6,2,8,4,3,7,1,$2500-5000,4,1,2,3,I would trust a fully self-driving car to drive for me,1,2,4,3,Moderately concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-13 17:56:40,2017-07-13 18:01:29,IP Address,79.243.67.112,100,289,True,2017-07-13 18:01:30,R_1rjP0zL7derVGIn,,,,,50.115295410156,8.6822967529297,anonymous,EN,Self-drive,7,Level 3 - Partial self-drive,Somewhat unlikely,Neither likely nor unlikely,2,5,1,7,3,4,6,8,$2500-5000,1,3,4,2,A fully self-driving car will free up my time and let me multitask,1,3,4,2,Moderately concerned,Might or might not,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-13 18:08:56,2017-07-13 18:13:29,IP Address,93.212.46.103,100,272,True,2017-07-13 18:13:30,R_1hya5CcztktONMp,,,,,50.116195678711,8.6365051269531,anonymous,EN,Be driven by an autonomous car,7,Level 4 - Full self-drive,Somewhat likely,Somewhat likely,5,6,1,7,4,3,8,2,$7500 & above,2,3,1,4,A fully self-driving car will free up my time and let me multitask,3,1,2,4,Slightly concerned,Definitely yes,20-30 years,Yes,5000-10000 kilometers,Male
2017-07-13 21:56:06,2017-07-13 22:00:28,IP Address,93.68.225.218,100,262,True,2017-07-13 22:00:29,R_2V2xgq2o17vULgz,,,,,45.464294433594,9.1894989013672,anonymous,EN,Be driven by an autonomous car,9,Level 3 - Partial self-drive,Extremely likely,Extremely likely,2,8,1,7,3,4,6,5,$2500-5000,2,4,1,3,A fully self-driving car will free up my time and let me multitask,2,1,3,4,Moderately concerned,Definitely yes,20-30 years,Yes,>20000 kilometers,Male
